hostname	location	active	owned	provider	stboot	ipv4_addr_in	ipv4_in_aws	ipv4_score	include_in_country	weight	pubkey	ipv6_addr_in	ipv6_in_aws	ipv6_score	shadowsocks_addr_in	shadowsocks_in_aws	shadowsocks_score	daita	quic_addr_in	quic_in_aws	quic_score
at-vie-wg-102	at-vie	True	False	DataPacket	True	185.24.11.159	False	17	True	100	DANFtH+sFB19BnW1CYEwZ2pOIt7P8nLjSadjpS2rLWE=	2a02:6ea0:cb1b:2::f001	False	None	185.24.11.161	False	None	False	None	None	None
at-vie-wg-003	at-vie	True	False	M247	True	135.136.51.130	False	43	True	100	HsWJFTCpoe7niGs8EOMI2/ES4Q4MuhqLIoRc9QLSpSk=	2001:ac8:29:b5::f001	False	None	135.136.51.141	False	None	True	None	None	None
au-adl-wg-303	au-adl	True	False	hostuniversal	True	103.214.20.162	False	52	True	100	X9vdIZG69ZDU4Wf05T8F+C+NuWeYOgojmOVeASdiIWo=	2404:f780:0:def::f201	False	None	None	None	None	False	None	None	None
au-adl-wg-301	au-adl	True	False	hostuniversal	True	103.214.20.50	False	52	True	100	rm2hpBiN91c7reV+cYKlw7QNkYtME/+js7IMyYBB2Aw=	2404:f780:0:deb::c1f	False	None	None	None	None	False	None	None	None
at-vie-wg-002	at-vie	True	False	M247	True	135.136.51.2	False	43	True	100	FSGkeqzoy8fWkGcGl5nrYeiQG04C511+qdH5iMramxE=	2001:ac8:29:b4::f001	False	None	135.136.51.13	False	None	True	None	None	None
al-tia-wg-004	al-tia	True	False	iRegister	True	103.124.165.191	False	9	True	100	x62J1c4gfHu/bF3DSjwIjC0qOE3azRG03i/YW6bOEGY=	2a04:27c0:0:d::f001	False	None	103.124.165.197	False	None	True	103.124.165.196	False	None
au-adl-wg-302	au-adl	True	False	hostuniversal	True	103.214.20.130	False	52	True	100	e4jouH8n4e8oyi/Z7d6lJLd6975hlPZmnynJeoU+nWM=	2404:f780:0:dec::c2f	False	None	None	None	None	False	None	None	None
au-per-wg-301	au-per	True	False	hostuniversal	True	103.108.231.50	False	34	True	100	hQXsNk/9R2We0pzP1S9J3oNErEu2CyENlwTdmDUYFhg=	2404:f780:8:deb::a01f	False	None	None	None	None	False	None	None	None
al-tia-wg-001	al-tia	True	False	iRegister	True	103.124.165.2	False	9	True	100	ofyfRvMPB0PPIGGItNL+5tNdvTKXuWye5CfjPgPNvQ8=	2a04:27c0:0:e::f001	False	None	103.124.165.17	False	None	True	103.124.165.6	False	None
ar-bue-wg-002	ar-bue	True	False	DataPacket	True	149.22.83.31	False	42	True	100	gGrdozNHVCnmcX5x8OPOXfnyZ+TZWqD9GlHl1kRekyA=	2a02:6ea0:f002:2::f001	False	None	149.22.83.34	False	None	False	149.22.83.33	False	None
au-syd-wg-101	au-syd	True	False	xtom	True	103.136.147.3	False	79	True	100	NKP4jSvSDZg5HJ3JxpGYMxIYt7QzoxSFrU2F0m1ZxwA=	2a11:3:500::f001	False	None	None	None	None	False	None	None	None
at-vie-wg-101	at-vie	True	False	DataPacket	True	185.24.11.130	False	17	True	100	dj3qNfJfA4dWXsWokPcDh4oo6xaPtOTPfbr5UzHKZ0M=	2a02:6ea0:cb1b:1::f001	False	None	185.24.11.132	False	None	False	None	None	None
al-tia-wg-003	al-tia	True	False	iRegister	True	103.124.165.130	False	9	True	100	rWiQxq5lAWD8v/bws9ITSAvThyZW8cR2x+Ins9ZvvRo=	2a04:27c0:0:c::f001	False	None	103.204.123.136	False	None	True	103.124.165.135	False	None
au-syd-wg-001	au-syd	True	False	M247	True	146.70.200.2	False	0	True	100	4JpfHBvthTFOhCK0f5HAbzLXAVcB97uAkuLx7E8kqW0=	2001:ac8:84:5::f001	False	None	None	None	None	False	None	None	None
au-bne-wg-301	au-bne	True	False	hostuniversal	True	103.216.220.18	False	34	True	100	1H/gj8SVNebAIEGlvMeUVC5Rnf274dfVKbyE+v5G8HA=	2404:f780:4:deb::f001	False	None	None	None	None	False	None	None	None
at-vie-wg-001	at-vie	True	False	M247	True	146.70.116.130	False	0	True	100	GLqlOTVJCyRpJx3vgR3ykTPNJLGKNytHXu61zBWIAls=	2001:ac8:29:b3::f001	False	None	146.70.116.141	False	None	True	None	None	None
au-syd-wg-102	au-syd	True	False	xtom	True	103.136.147.65	False	79	True	100	w825smx7YI9/SrwSYGdsuwD1Qt5UsS/CyaGTjwSYljU=	2a11:3:500::f101	False	None	None	None	None	False	None	None	None
au-bne-wg-302	au-bne	True	False	hostuniversal	True	103.216.220.34	False	34	True	100	z+JG0QA4uNd/wRTpjCqn9rDpQsHKhf493omqQ5rqYAc=	2404:f780:4:dec::a02f	False	None	None	None	None	False	None	None	None
ar-bue-wg-001	ar-bue	True	False	DataPacket	True	149.22.83.2	False	42	True	100	1WN0Mqa0Azw7cYYEamHPgHXE8SuylNIG2QobZKOaclA=	2a02:6ea0:f002:1::f001	False	None	149.22.83.5	False	None	False	149.22.83.4	False	None
bg-sof-wg-001	bg-sof	True	False	M247	True	146.70.188.130	False	73	True	100	J8KysHmHZWqtrVKKOppneDXSks/PDsB1XTlRHpwiABA=	2001:ac8:30:56::f001	False	None	None	None	None	False	None	None	None
au-syd-wg-002	au-syd	True	False	M247	True	146.70.141.194	False	12	True	100	lUeDAOy+iAhZDuz5+6zh0Co8wZcs3ahdu2jfqQoDW3E=	2001:ac8:84:6::2f	False	None	None	None	None	False	None	None	None
au-syd-wg-104	au-syd	True	False	xtom	True	103.136.147.197	False	79	True	100	61Ovy3ObuHqllZK/P/5cOWZnY26SY2csmjzVK1q+fFs=	2a11:3:500::f301	False	None	None	None	None	False	None	None	None
au-mel-wg-401	au-mel	True	False	hostuniversal	True	163.47.16.146	False	0	True	100	ju0S2nDmiOrSm1H68SRTB4mtt2U8SKROprE83VCoF1Y=	2406:d501:f:dfa::f001	False	None	163.47.16.149	False	None	False	163.47.16.148	False	None
be-bru-wg-102	be-bru	True	False	M247	True	194.110.115.34	False	20	True	100	IY+FKw487MEWqMGNyyrT4PnTrJxce8oiGNHT0zifam8=	2001:ac8:27:89::a02f	False	None	None	None	None	False	None	None	None
au-mel-wg-402	au-mel	False	False	hostuniversal	True	163.47.16.150	False	0	True	100	j9xeIW+vE1DQAglbr00Vw1ePp6ueWklZ+Qx+KuyoBwQ=	2406:d501:f:dfb::f001	False	None	163.47.16.153	False	None	False	163.47.16.152	False	None
au-syd-wg-003	au-syd	True	False	M247	True	146.70.200.194	False	0	True	100	LXuRwa9JRTt2/UtldklKGlj/IVLORITqgET4II4DRkU=	2001:ac8:84:4::3f	False	None	None	None	None	False	None	None	None
